,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1285,Bookmarks: Celebrating Black Voices,SHOW,2020,TV-G,7,['family'],United States of America (the),1,tt12923664,5,160,0,light pink
1286,Arashi's Diary: Voyage,SHOW,2019,TV-Y7,31,"['documentation', 'music']",Japan,1,tt11434874,7.7,42,0,light pink
1287,A Thousand Goodnights,SHOW,2019,,84,['drama'],Taiwan (Province of China),1,tt10370952,8,93,0,light pink
1288,Nailed It! Germany,SHOW,2020,TV-14,35,['reality'],Germany,1,tt11460744,5.7,100,0,light pink
1289,Six Windows in the Desert,SHOW,2020,TV-14,21,"['drama', 'comedy', 'history', 'scifi']",Saudi Arabia,1,tt11874042,4.3,3074,0,light pink
1290,"Wait, My Youth",SHOW,2019,TV-PG,36,"['drama', 'romance']",China,1,tt12071466,8.1,121,0,light pink
1291,Bangkok Buddies,SHOW,2019,TV-MA,40,"['comedy', 'drama']",Thailand,1,tt11513508,6.8,17,0,light pink
1292,Pinky Malinky,SHOW,2019,TV-Y7,13,"['comedy', 'family', 'animation']",United States of America (the),3,tt5621544,5.8,865,0,light pink
1293,The Charming Stepmom,SHOW,2019,TV-14,56,"['family', 'comedy', 'romance']",Thailand,1,tt13846404,7.8,17,0,light pink
1294,Once Upon a Time in Lingjian Mountain,SHOW,2019,TV-14,45,"['action', 'comedy', 'fantasy', 'romance', 'drama']",China,2,tt11261994,7.5,261,0,light pink
1295,True: Terrific Tales,SHOW,2020,,8,"['animation', 'family']",United States of America (the),1,tt12140808,5.7,22,0,light pink
1296,Somewhere Only We Know,SHOW,2019,TV-MA,58,"['drama', 'romance']",China,1,tt10472296,7.3,158,0,light pink
1297,Anitta: Made in Honório,SHOW,2020,TV-MA,29,"['documentation', 'music']",Brazil,1,tt13486136,6.8,398,0,light pink
1298,Futmalls.com,SHOW,2020,TV-14,40,"['thriller', 'scifi']",Taiwan (Province of China),1,tt13652552,6.4,182,0,light pink
1299,Valentino,SHOW,2020,TV-14,39,['comedy'],Egypt,1,tt11508212,5.2,213,0,light pink
1300,J-Style Trip,SHOW,2020,TV-14,64,['reality'],China,1,tt11942052,4.9,111,0,light pink
1301,糖糖Online,SHOW,2019,TV-MA,24,['drama'],Taiwan (Province of China),1,tt11330500,5.5,21,0,light pink
